image,prompt,edit_image,category,flow_gt_path,_layer,_zero_epe
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/UVDoc_crop/UVDoc_crop_0004134.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/UVDoc_crop/UVDoc_crop_0004134.png,UVDoc_crop,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/UVDoc_crop/UVDoc_crop_0004134.npy,low,3.36
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Pers_NoAug/Pers_NoAug_0027799.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Pers_NoAug/Pers_NoAug_0027799.png,Pers_NoAug,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Pers_NoAug/Pers_NoAug_0027799.npy,low,12.86
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Pers_NoAug/Pers_NoAug_0004548.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Pers_NoAug/Pers_NoAug_0004548.png,Pers_NoAug,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Pers_NoAug/Pers_NoAug_0004548.npy,low,16.04
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Xm_crop/Xm_crop_0015513.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Xm_crop/Xm_crop_0015513.png,Xm_crop,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Xm_crop/Xm_crop_0015513.npy,low,18.27
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Xm_crop/Xm_crop_0017718.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Xm_crop/Xm_crop_0017718.png,Xm_crop,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Xm_crop/Xm_crop_0017718.npy,low,20.04
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Xm_crop/Xm_crop_0011813.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Xm_crop/Xm_crop_0011813.png,Xm_crop,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Xm_crop/Xm_crop_0011813.npy,low,21.72
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/gxm_crop/gxm_crop_0010408.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/gxm_crop/gxm_crop_0010408.png,gxm_crop,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/gxm_crop/gxm_crop_0010408.npy,mid,21.80
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Pers_NoAug/Pers_NoAug_0020524.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Pers_NoAug/Pers_NoAug_0020524.png,Pers_NoAug,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Pers_NoAug/Pers_NoAug_0020524.npy,mid,23.55
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Pers_NoAug/Pers_NoAug_0016530.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Pers_NoAug/Pers_NoAug_0016530.png,Pers_NoAug,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Pers_NoAug/Pers_NoAug_0016530.npy,mid,24.82
/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/gt/Xm_crop/Xm_crop_0028050.png,"Apply geometric correction to the input image to eliminate distortions such as skew, curl, folds, or non-frontal perspective, producing a flat, front-facing image where all textual content and structural elements, including table lines, are strictly aligned horizontally or vertically, resembling the layout of a standard PDF document. Preserve all original document content without alteration or regeneration. Retain all foreground elements, including any finger occlusions or shadows. If geometric correction creates undefined or empty regions at the edges, fill those areas with solid white pixels.",/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/img/Xm_crop/Xm_crop_0028050.png,Xm_crop,/juicefs-algorithm/data/IPT/zhuochu_yang/upwarp_img_1in10_white_0511/flow/Xm_crop/Xm_crop_0028050.npy,mid,26.49
